ID    weight      height
1    95.33550          NA
2    73.37128          NA
3    60.24730  2.76750189
4    63.19644          NA
5    92.29266  1.74251322
6    73.35132  0.22229386
7    87.93718  0.70191794
8   108.12021  1.91783768
9          NA          NA
10   79.91146  1.20199318
11   87.28699  2.63924554
12   78.72705  2.33597877
13   83.22165  2.79224102
14   76.56707  4.69973578
15   73.05907  1.88012742
16  103.95631  0.01400609
17   93.90106          NA
18         NA  0.29171711
19   77.72112  2.39679783
20   89.57130  2.25969195
21         NA  0.44091991
22   86.81144  1.98644220
23         NA  2.32078983
24   83.67855  0.52785045
25   99.92174  1.63613371
26         NA  2.45574478
27         NA  2.04649330
28   95.06871  0.80041098
29  100.10637  2.43315917
30   57.21371  3.59458367
31   95.12038  0.74198302
32  105.21509  1.71174784
33         NA          NA
34   70.86515  2.30272874
35   65.56588 -0.31220891
36   91.35633  1.63769377
37   73.26311  0.44803425
38   67.04502  2.92173924
39   54.96067  0.65814528
40   91.11882  3.22917065
41   68.71490  1.48000017
42  103.39172  1.31690349
43         NA          NA
44         NA  3.10124561
45         NA          NA
46  106.18751  1.33331748
47   56.50142  0.19030661
48   84.15624  1.36496462
49   79.49933  2.82583781
50   78.52902  3.79108152
51   73.42735          NA
52   82.67713  1.33548361
53   84.11796  2.33454131
54   72.63152 -0.48690430
55   67.29790          NA
56   76.42609  0.45256301
57   62.96937  3.10614726
58   94.19731  2.60758982
59         NA  1.36962549
60   85.13777  2.05077695
61   90.59044  1.36119503
62   78.01014  1.88269418
63   67.38935  2.06499057
64   71.17560  3.08150960
65   82.37771  0.55855724
66   94.28641  2.67324888
67   77.31015 -0.17448334
68   37.56230  2.09078419
69   89.76534  2.46561126
70   85.67659  2.07431600
71         NA -0.31172365
72  100.63372          NA
73   69.78382  1.69651374
74   94.00617          NA
75   74.50574  1.35732783
76   71.54483  0.93298983
77   80.44540  2.50466119
78  100.34412  1.72128610
79         NA  1.95659570
80         NA  3.42724821
81   69.05822  2.99440186
82   86.69525  1.31683853
83   66.56858          NA
84   74.30839  1.05167672
85   92.08465  2.61175841
86  102.47916  1.86912174
87   82.88437  0.78035899
88   84.55808  3.63587039
89         NA  2.40584530
90   78.15858  0.87082673
91   85.31441          NA
92  100.96138  2.83168343
93   74.28405  2.67928514
94   75.50184          NA
95   86.21366  3.11505300
96  106.19389  2.92717552
97  103.17408  1.81247282
98   90.44502  2.27856749
99   86.93017  2.13888718
100 105.66336  3.30635773
